SMILES
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(F)(F)F
CCc1ccc(CNC(=O)C2CCN([C@H](C)c3cccc4ccccc34)CC2)cc1
O=C(C=Cc1ccccc1)N[C@@H](COC(=O)c1ccncc1)C(=O)NC1CCCCC1
CN(C)CCCSc1ccccc1NC(=O)/C=C/c1ccccc1
CC(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C=O)Cc1c[nH]cn1)C(C)C
CC(C)(C)NC(=O)C(c1ccsc1)N(C(=O)Cn1nnc2ccccc21)c1ccc(NS(C)(=O)=O)cc1
O=C1Nc2ccc(S(=O)(=O)N3CCOCC3)cc2C1=O
O=[N+]([O-])c1cc(C(F)(F)F)ccc1S(=O)(=O)c1ccc(Cl)cc1
COc1cc(/C=N/NC(=O)/C(=C\c2ccccc2)NC(=O)c2ccccc2)cc(OC)c1O
CC(C)C(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1
CCOC(=O)/C=C/[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C
C[C@H](NC(=O)C1CCN([C@H](C)c2cccc3ccccc23)CC1)c1ccccc1
O=C(C=Cc1ccccc1)N[C@H](COC(=O)c1ccccc1)C(=O)NCc1ccccc1
O=C1Nc2ccc(S(=O)(=O)N3CCN(c4ccccn4)CC3)cc2C1=O
CC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)CCC(N)=O)[C@@H](C)O
COC(=O)[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21
CCN(CC)C(=O)CC[C@H](NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(=O)c1nc2ccccc2s1
CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)COC(=O)c1c(Cl)cccc1Cl
NC(N)=NC(=O)c1nc(Cl)c(N2CCCCCC2)nc1N
OC[C@@H]1O[C@H](CS1)n2cnc3c(O)ncnc23
COc1ccc(Cl)cc1N1CCN(CCCNC(=O)c2cccc3c(=O)c(C)c(-c4ccccc4)oc23)CC1
Oc1cc(O)cc(Oc2c(Oc3c(O)cc(O)cc3O)cc(O)c3c2Oc2c(O)cc(O)cc2O3)c1
O=C1Nc2ccc(S(=O)(=O)N3CCN(CCc4ccccc4)CC3)cc2C1=O
COCC(c1cccc2ccccc12)N1CCC(C(=O)NCc2ccc3c(c2)OCO3)CC1
CCOC(=O)/C=C/[C@H](Cc1ccccc1)NC(=O)C[C@@H](O)C(=O)N[C@@H](/C=C/C(=O)OCC)Cc1ccccc1
CC1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3Cc2ccccc2)CC1
CC(C)(C)C[C@H](NC(=O)c1cc2ccccc2[nH]1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)CCl
CC(C)(C)C[C@H](NC(=O)[C@H]1CCCO1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(=O)c1c(Cl)cccc1Cl
N=C(N)NC(=O)Cc1ccccc1
Cc1ccc2nc(-c3ccc(N)cc3)sc2c1S(=O)(=O)O
ONC(=O)CCCCCC(=O)N\N=C\c1ccc(cc1)c2ccccn2
CNC(=O)c1ccc(CNC(=O)C2CCN([C@H](C)c3cccc4ccccc34)CC2)cc1
C=C(CC)C(=O)c1ccc(OCC(=O)N(C(N)=O)C(C)C)c(Cl)c1Cl
O=C[C@H](Cc1c[nH]cn1)NC[C@@H]1C[C@H]2CCCC[C@@H]2CN1C(=O)c1ccccc1
CCN(CC)C(=O)CC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C(=O)c1nccs1
N=C(N)NC(=O)COc1ccc(Cl)cc1
C[C@H](c1cccc2ccccc12)N1CCC(C(=O)NCc2cccnc2)CC1
COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)COC(=O)c3ccc(C)cc3)cc12
O=C1C(=O)N(Cc2ccccc2)c2ccc(S(=O)(=O)N3CCOCC3)cc21
CC(C)Cc1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NC(C)(C)C)c2cccnc2)cc1
Cc1cc(C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](/C=C/C(=O)OCc2ccccc2)C[C@@H]2CCNC2=O)C(C)C)no1
O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccccc2)c1
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)c1nc2ccccc2s1
O=C(OCc1cccc(Cl)c1)c1cc(B(O)O)cc([N+](=O)[O-])c1
C=C(C)C1CC[C@]2(C(=O)O)CC[C@]3(C)C(CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@]43C)C12
COC(=O)C1(C)CCCc2c1ccc1c2C(=O)C(=O)c2c(C)coc2-1
O=C(Oc1ccc(F)cc1)c1cc(B(O)O)cc([N+](=O)[O-])c1
